Blog	following	worth	personal	earlier	act	anyway	loud	starting	bill	apart	woman	son	history	shot	feet	main	musical	missing	performance	however	friday	pick	mostly	guys	opening	recently	dog	phone	tom	present	punk	title	quality	yesterday	film	view	energy	saying	turns	caught	evening	stuck	type	y	means	london	social	river	singing	due	beyond	possible	seemed	funny	reading	brothers	usually	wonderful	f	itself	albums	share	dancing	needed	tomorrow	key	bed	understand	fresh	fans	wall	asked	aren	built	alive	lead	l	tried	popular	saturday	electric	heads	seeing	bright	large	happened	mountain	noise	company	august	wrote	joy	wind	theme	throughout	create	previous	awesome	themselves	classic	nights	lights	starts	bear	brown	english	june	wants	festival	hits	flying	perhaps	recent	lady	towards	himself	weird	september	important	public	add	birthday	changed	closer	fit	huge	poor	meet	father	hair	quickly	solo	g	current	sex	smith	tree	brought	meant	photo	happen	stories	copy	college	van	building	clean	quick	internet	george	parts	seven	leaving	fair	sister	fight	robert	shit	spend	greatest	added	magic	ghost	truly	jack	dreams	holding	heaven	plays	pay	crowd	bottom	learn	problem	april	date	kept	ep	audience	continue	ends	ain	floor	thoughts	station	human	tune	certain	business	collection	longer	review	various	golden	despite	question	action	plan	animal	totally	giving	food	reasons	system	peter	february	snow	brother	july	debut	season	pieces	lucky	catch	nature	scott	ended	camera	fuck	hill	million	acoustic	co	december	hall	buy	memories	worked	voices	usual	features	members	christmas	v	smile	indie	lack	non	using	fantastic	round	october	spirit	letter	keeping	missed	link	secret	putting	enjoyed	studio	steve	total	older	gives	billy	falling	eventually	amount	definitely	soft	driving	serious	simply	era	met	entire	joe	imagine	liked	ice	streets	inspired	concert	tired	beauty	color	speak	jones	women	pure	choice	series	november	jam	america	michael	likely	nobody	setting	peace	folk	cry	difficult	possibly	section	w	doubt	grow	drums	island	material	names	cross	south	certainly	picked	mid	underground	mike	normal	queen	hoping	seriously	paper	drop	grand	although	afternoon	miles	hopefully	figure	surprise	cd	moments	ok	general	matt	lonely	hotel	whether	slightly	area	edge	pass	land	process	safe	easily	vocals	pictures	north	leaves	holiday	press	weather	spot	bird	led	anymore	fell	example	vs	lee	nowhere	guitars	covers	ray	particular	calling	hi	similar	store	nick	rare	wine	drum	minor	recorded	string	brain	sign	featured	nearly	recording	biggest	onto	expect	wanna	hop	tears	richard	everybody	mention	service	learned	tiny	among	happens	female	level	featuring	mood	information	standing	ground	bass	pre	breaking	damn	perfectly	opportunity	apparently	weren	drugs	brian	brings	coast	rough	event	arms	lake	burning	brand	size	highly	books	empty	beats	jazz	rose	ball	ii	several	except	orange	table	interview	january	answer	regular	ideas	surprised	east	rolling	odd	included	career	began	trouble	begin	smart	ryan	interest	somehow	sitting	absolutely	planet	incredible	points	growing	bunch	natural	eat	chris	glad	glass	society	california	hearts	dirty	mouth	production	label	excellent	ocean	fourth	period	hurt	kiss	attack	burn	dropped	member	support	uk	frank	rhythm	obvious	hearing	focus	sonic	garage	honest	movement	build	hip	became	dave	followed	hang	promise	image	turning	site	cannot	los	managed	finished	finding
The Ideal Copy	8	7	2	4	2	9	6	9	2	4	1	4	7	12	1	9	7	2	13	17	31	9	2	2	9	3	8	11	1	4	5	6	4	9	2	10	0	2	15	3	3	1	4	1	11	2	0	0	0	14	3	3	5	1	2	1	3	1	3	2	20	10	5	4	5	2	1	1	8	5	4	8	3	4	4	4	1	4	2	7	0	0	4	3	11	7	0	1	5	0	4	2	2	1	2	6	9	6	3	3	0	1	2	4	1	4	7	1	3	6	0	3	4	0	2	4	6	5	2	0	15	9	0	2	1	6	1	6	1	1	4	7	8	2	0	0	4	3	3	30	4	2	14	2	1	4	1	27	10	1	3	0	4	3	1	4	3	0	2	1	5	2	1	0	0	0	1	1	1	0	2	0	0	1	10	5	5	4	5	3	0	0	0	5	0	0	1	0	1	3	1	3	1	3	0	0	2	2	0	3	3	3	3	19	2	7	14	5	10	4	2	1	4	3	1	3	8	10	0	4	2	0	5	5	2	4	2	5	0	3	3	11	19	2	3	0	2	5	10	0	1	5	4	3	1	1	5	0	2	2	3	5	2	5	3	1	0	5	2	9	1	11	2	1	2	3	5	0	1	3	7	0	0	6	1	0	1	4	2	0	6	1	8	10	3	4	1	2	5	3	0	0	0	3	4	7	3	1	0	0	27	2	1	1	4	0	2	0	0	1	7	2	3	1	0	0	4	19	5	6	1	2	1	7	4	4	4	0	0	7	0	4	5	3	3	1	1	4	0	5	13	17	0	3	4	3	2	2	4	3	4	3	5	2	0	3	1	4	0	2	126	3	7	4	2	1	1	2	9	2	2	1	3	2	8	1	0	0	0	0	0	0	5	2	8	3	0	2	2	0	1	4	1	7	2	1	4	5	3	0	0	1	9	2	0	0	1	3	0	4	3	0	1	2	3	2	2	0	2	2	191	0	1	4	5	2	3	0	1	1	2	0	2	0	1	6	6	4	1	2	2	2	0	5	1	0	0	0	1	0	1	2	1	1	0	2	1	0	3	0	1	1	7	5	3	4	3	2	1	1	0	5	3	2	8	4	1	0	0	2	0	1	2	0	5	5	1	3	2	4	0	2	1	1	9	0	0	4	6	0
Parish Radio	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KiDCHAIR	7	5	9	5	1	23	15	7	2	3	3	4	10	7	3	4	6	7	10	2	2	0	8	28	15	14	3	8	1	3	22	18	7	4	8	3	4	10	9	6	2	9	6	6	11	4	1	0	22	1	6	10	10	14	8	8	14	6	3	17	93	10	5	9	9	5	3	10	4	6	8	5	19	0	10	10	1	12	6	2	5	5	12	8	3	13	1	3	3	5	4	4	4	12	9	7	13	18	6	15	2	4	12	21	4	11	1	6	2	11	7	15	9	8	2	9	4	1	4	4	5	9	4	5	17	13	1	4	3	10	6	10	4	5	6	2	2	9	3	3	10	3	1	0	3	3	2	5	4	7	1	7	3	4	7	6	11	0	1	18	8	7	5	24	9	5	2	5	4	8	2	5	4	4	1	7	20	7	1	7	10	6	2	6	8	4	47	8	2	8	7	9	6	4	12	5	9	3	10	6	5	4	4	2	4	1	2	19	5	13	4	6	5	3	6	1	9	1	0	2	3	10	3	1	0	9	5	6	7	8	2	1	18	1	4	6	7	10	3	22	6	1	7	2	2	5	16	9	10	11	1	15	6	3	7	2	5	9	2	18	9	4	3	22	6	12	6	3	10	17	3	4	2	1	2	11	1	10	4	0	24	6	7	1	10	5	11	3	9	2	4	13	14	3	11	8	4	7	5	3	2	4	6	2	0	6	2	6	0	1	2	6	1	10	3	4	12	6	1	1	2	16	14	2	7	22	5	4	7	1	7	16	1	0	2	2	1	4	8	14	3	4	0	3	3	3	11	7	4	8	3	14	2	6	5	15	3	3	3	3	2	13	2	0	11	5	3	0	3	4	6	2	6	19	2	13	0	9	11	15	6	3	0	2	3	1	3	5	12	3	1	3	13	4	2	1	28	4	9	17	24	1	13	6	2	1	12	0	2	4	4	5	4	0	0	1	5	4	9	7	0	5	1	0	7	4	4	2	7	4	4	1	13	0	12	6	10	3	4	3	4	8	0	0	15	6	10	2	20	5	6	1	2	5	9	4	2	1	3	2	0	6	8	1	1	4	1	1	2	2	4	1	9	4	5	0	7	6	8	24	1	6	2	14	0	7	21	11	2	2	0	2	6	4	1	3	0	4	8	2
If You Give a Girl a Camera...	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Lo importante es que estes tú bien	0	0	0	0	1	1	2	1	3	1	0	3	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	1	11	7	0	0	0	2	0	4	2	1	0	0	1	1	0	3	0	1	9	11	3	0	6	0	0	1	0	12	0	1	0	0	0	1	3	1	2	0	1	1	2	0	1	0	0	16	3	0	2	0	0	2	0	4	0	1	1	0	3	0	1	0	0	0	5	3	0	0	0	0	0	0	3	0	0	3	2	0	0	0	0	4	4	0	0	4	0	0	1	3	0	0	0	0	1	0	0	0	1	1	3	0	6	1	0	0	3	2	2	0	0	0	1	0	0	0	3	1	2	0	0	0	0	1	0	2	5	5	11	0	0	0	0	2	11	0	1	1	5	0	0	2	0	2	0	0	6	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	3	0	0	2	0	1	0	0	3	1	0	0	0	2	0	0	1	0	0	1	0	2	2	2	0	3	6	0	0	0	32	0	4	0	2	0	1	2	0	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	0	1	0	11	1	0	0	0	1	1	1	0	0	0	0	3	0	0	2	0	0	0	2	2	0	1	1	0	5	0	0	0	0	2	2	0	2	1	0	4	3	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	1	0	1	5	1	0	3	0	4	0	0	3	0	0	0	23	0	1	0	2	2	10	0	0	0	0	2	1	0	0	1	0	0	0	5	2	0	0	0	4	0	4	0	0	5	3	5	1	0	0	0	1	0	0	0	4	0	9	0	4	0	0	0	0	0	0	0	0	0	0	5	0	7	2	1	0	0	2	1	1	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	10	1	0	13	8	0	1	9	0	12	3	0	0	0	1	0	2	0	2	1	0	0	1	0	1	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	5	2	2	9	4	1	0	1	0	0	0	4	0	0	0	1	0	1	0	0	0	0	4	0	0	0	1	0	0	2	0	2	0	0	0	0	1	5	0	0	0	0	9	0	0	0
*Sixeyes: by Alan Williamson	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	2	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
La Fotografía Efectista Abstracta. Fotos Abstractas. Abstract  Photos.	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	16	0	0	1	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0
Becky Sharp Fashion Blog	2	7	1	3	2	5	2	2	0	5	8	0	5	1	5	4	1	3	1	4	1	3	2	5	4	10	2	1	7	1	2	4	2	0	28	4	2	2	1	3	7	4	4	3	5	38	3	0	2	1	3	2	10	5	7	1	2	1	3	4	0	3	5	0	3	2	2	4	6	3	4	5	4	3	0	1	1	6	2	4	0	1	4	1	4	3	0	0	9	0	0	0	2	3	1	2	1	14	2	9	0	3	0	2	1	3	0	1	23	0	0	1	3	3	4	0	1	2	1	4	3	3	1	0	4	12	1	1	1	18	1	0	1	2	0	1	4	5	3	18	0	4	0	0	2	7	0	2	8	1	1	2	1	3	0	0	1	0	11	1	0	1	0	1	0	1	1	1	3	2	5	2	1	1	0	5	3	1	5	1	2	3	7	3	3	0	0	4	9	5	1	5	1	3	6	0	4	1	2	2	1	21	3	4	2	0	5	1	0	0	1	2	5	1	0	0	1	1	1	0	2	0	3	0	6	18	4	3	0	2	1	4	14	3	1	3	3	1	4	2	3	1	0	0	1	0	1	1	2	0	3	0	2	3	0	0	1	3	3	11	2	2	3	1	0	2	2	1	0	2	6	3	5	3	5	3	1	1	6	5	0	4	0	1	1	1	0	0	1	2	4	0	0	4	4	2	0	0	1	1	0	3	2	1	0	1	6	6	0	2	5	1	0	2	4	0	1	2	2	0	1	2	0	0	0	3	0	0	0	4	4	5	7	1	1	1	1	3	2	0	8	2	2	6	2	9	2	0	1	0	2	1	1	1	0	0	7	6	1	0	0	0	7	6	0	12	0	2	2	0	0	0	0	2	0	0	1	1	1	0	0	0	0	2	1	0	8	5	4	2	0	0	2	0	3	1	0	6	2	2	2	2	10	0	0	1	1	1	2	2	3	0	0	1	7	3	8	0	0	3	2	3	0	0	6	3	7	2	2	0	0	2	0	6	1	3	3	2	3	1	0	2	0	2	0	5	1	0	3	2	0	0	3	11	0	0	7	2	1	2	2	3	2	0	2	0	0	1	1	1	2	3	1	2	1	4	1	0	1	0	0	1	2	1	0	0	1	3	0	0	3	0	1	2	1	2	1	2	3	2
from a voice plantation	3	7	1	7	1	35	6	8	6	9	1	0	9	4	4	17	4	5	10	12	12	2	37	3	3	17	1	2	2	5	26	10	11	8	35	14	8	5	0	1	22	4	1	1	7	57	2	20	6	8	5	11	18	3	6	5	8	14	0	5	14	0	5	4	5	5	4	7	4	10	7	4	2	5	7	7	6	4	4	9	4	4	12	3	8	9	5	39	0	2	3	3	2	3	14	5	5	2	5	8	5	9	6	3	0	5	3	6	14	7	15	1	5	0	10	5	38	0	7	5	6	15	7	6	3	14	1	4	0	4	6	10	3	4	0	2	2	2	6	3	8	5	4	0	0	3	4	1	1	4	4	5	2	3	4	1	5	4	4	3	4	2	2	6	0	2	3	1	5	1	9	2	0	7	3	4	7	3	15	2	2	0	4	3	16	1	4	10	2	2	6	0	8	3	6	0	2	2	4	5	3	7	3	3	3	2	11	6	3	1	0	4	0	2	9	2	10	8	2	28	1	3	9	0	11	5	10	27	12	8	11	4	2	4	1	17	0	5	6	8	8	2	6	2	4	4	6	6	3	5	9	5	2	7	1	1	1	11	0	30	4	4	2	1	4	9	5	2	2	10	1	3	1	7	4	3	0	7	1	0	3	3	9	0	0	2	3	2	0	4	0	2	4	11	5	0	3	2	1	0	9	10	5	47	14	8	4	5	5	0	1	3	2	3	0	1	4	0	13	2	7	6	6	4	6	15	4	0	2	3	9	31	30	5	1	7	5	3	2	9	9	9	1	9	2	5	4	1	2	15	7	1	3	5	6	5	4	1	3	1	5	12	0	3	1	3	0	3	14	2	0	8	4	1	11	3	10	2	0	1	1	0	3	3	3	0	3	4	4	1	2	12	3	3	6	4	6	3	0	0	1	1	26	7	0	0	2	16	14	6	3	3	0	3	1	6	3	9	0	3	0	0	2	9	0	3	1	1	0	1	5	2	2	21	0	8	2	1	0	2	0	0	1	3	15	13	5	5	3	4	3	4	1	1	9	4	7	0	0	1	5	1	6	3	7	0	3	2	0	0	2	2	0	5	5	14	7	3	3	4	3	3	5	1	0	3	0	11	0	9	15	0	7	1	136	0	2	16	6	2
PLATTENTIPPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Rod Shone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0
The Stearns Family	4	5	0	4	1	2	1	4	0	1	1	1	2	4	5	1	1	3	0	0	23	4	1	1	8	2	3	2	0	0	0	0	2	9	0	0	3	9	2	5	6	2	3	0	0	0	0	1	8	11	7	3	25	6	10	1	9	18	0	0	0	5	4	8	3	1	11	1	0	1	2	9	3	0	0	0	0	13	0	31	1	2	12	1	5	5	1	1	4	4	1	2	0	0	7	3	1	14	1	0	3	0	0	1	1	0	6	9	0	2	2	0	0	1	5	1	1	4	2	1	0	39	1	3	1	2	3	6	9	7	5	0	0	0	0	0	2	4	0	4	7	0	0	1	1	1	2	5	1	0	0	2	2	2	13	0	0	0	12	1	0	1	0	2	0	0	1	0	2	2	0	1	2	1	3	4	13	0	0	3	1	0	2	4	0	0	0	1	1	0	2	0	0	0	0	2	2	3	1	1	5	20	0	0	0	3	30	9	6	0	0	0	4	12	0	0	11	16	0	0	4	0	1	1	0	11	2	9	0	2	0	3	29	0	0	0	1	1	4	0	2	1	0	3	6	4	0	0	5	16	0	0	2	6	0	0	2	2	8	8	0	10	2	0	0	3	11	0	2	3	8	0	0	0	1	1	5	1	0	0	0	3	0	2	0	2	0	0	0	1	1	0	1	3	1	3	0	0	2	0	0	0	0	1	0	0	8	0	0	0	3	10	10	3	2	0	0	0	4	6	33	5	2	1	0	0	2	0	0	1	0	0	8	0	1	0	3	1	1	0	88	0	0	0	0	11	3	0	0	2	0	0	0	0	0	0	1	1	2	1	1	1	2	0	1	0	1	1	0	0	0	1	0	0	0	4	1	1	1	0	0	0	0	0	1	4	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	5	2	10	0	5	2	0	3	2	0	2	0	0	1	0	2	1	0	0	2	3	1	3	3	1	2	9	1	1	1	2	2	0	0	0	4	0	7	0	9	0	0	2	0	10	16	0	0	0	5	3	1	15	0	3	0	0	0	0	6	9	0	0	3	3	3	0	4	0	1	0	4	0	0	0	0	0	0	4	0	0	0	3	2	0	0	2	0	1	6	1	0	0	0	0	0	0	6	4
